 ; ;2023Q1;2023Q2;2023Q3;2023Q4
Men;;;;;
Men;Paintings;27;25;29;27
Men;Sculptures;15;14;17;16
Men;Craft work;10;9;13;10
Men;Design;14;12;12;13
Men;Photography;17;14;16;16
Men;Installation art;5;5;7;6
Men;Video art;7;5;6;8
Men;Performance;3;3;4;3
Men;Other types;4;4;4;4
Men;I have not consumed graphic art within the last three months;61;64;59;62
Women;;;;;
Women;Paintings;37;36;38;38
Women;Sculptures;19;22;24;23
Women;Craft work;19;19;23;22
Women;Design;20;19;19;20
Women;Photography;21;19;19;19
Women;Installation art;8;9;8;10
Women;Video art;6;6;6;8
Women;Performance;4;4;4;4
Women;Other types;4;4;5;4
Women;I have not consumed graphic art within the last three months;49;52;47;50
16-24 years;;;;;
16-24 years;Paintings;31;27;29;33
16-24 years;Sculptures;17;18;24;23
16-24 years;Craft work;11;14;17;15
16-24 years;Design;20;16;21;22
16-24 years;Photography;25;19;25;26
16-24 years;Installation art;8;9;8;12
16-24 years;Video art;13;12;16;16
16-24 years;Performance;9;5;9;6
16-24 years;Other types;6;5;6;6
16-24 years;I have not consumed graphic art within the last three months;45;55;48;49
25-34 years;;;;;
25-34 years;Paintings;27;29;29;30
25-34 years;Sculptures;19;19;17;23
25-34 years;Craft work;15;14;17;17
25-34 years;Design;19;17;17;18
25-34 years;Photography;24;22;22;23
25-34 years;Installation art;11;13;11;13
25-34 years;Video art;10;11;8;13
25-34 years;Performance;4;5;4;5
25-34 years;Other types;5;3;7;5
25-34 years;I have not consumed graphic art within the last three months;54;57;57;55
35-44 years;;;;;
35-44 years;Paintings;28;29;27;30
35-44 years;Sculptures;14;17;18;19
35-44 years;Craft work;12;12;14;15
35-44 years;Design;16;18;13;18
35-44 years;Photography;20;20;18;21
35-44 years;Installation art;7;7;8;10
35-44 years;Video art;9;7;5;10
35-44 years;Performance;4;4;5;5
35-44 years;Other types;3;5;4;6
35-44 years;I have not consumed graphic art within the last three months;62;60;56;60
45-54 years;;;;;
45-54 years;Paintings;31;29;35;33
45-54 years;Sculptures;18;19;24;21
45-54 years;Craft work;16;14;18;16
45-54 years;Design;14;13;18;16
45-54 years;Photography;18;18;23;18
45-54 years;Installation art;6;6;11;7
45-54 years;Video art;5;5;6;4
45-54 years;Performance;3;3;4;4
45-54 years;Other types;4;2;3;3
45-54 years;I have not consumed graphic art within the last three months;59;62;53;54
55-64 years;;;;;
55-64 years;Paintings;35;31;34;33
55-64 years;Sculptures;18;16;19;18
55-64 years;Craft work;16;14;20;16
55-64 years;Design;16;15;14;15
55-64 years;Photography;18;13;14;13
55-64 years;Installation art;6;5;6;5
55-64 years;Video art;3;4;4;4
55-64 years;Performance;1;3;2;2
55-64 years;Other types;4;5;4;3
55-64 years;I have not consumed graphic art within the last three months;56;60;56;57
65-74 years;;;;;
65-74 years;Paintings;37;36;41;38
65-74 years;Sculptures;18;18;22;19
65-74 years;Craft work;16;17;21;19
65-74 years;Design;15;13;14;16
65-74 years;Photography;15;13;13;15
65-74 years;Installation art;5;4;4;6
65-74 years;Video art;3;1;2;4
65-74 years;Performance;2;1;2;2
65-74 years;Other types;4;4;3;3
65-74 years;I have not consumed graphic art within the last three months;55;54;50;56
75 years and over;;;;;
75 years and over;Paintings;38;37;40;34
75 years and over;Sculptures;15;19;22;13
75 years and over;Craft work;17;17;20;16
75 years and over;Design;15;15;13;13
75 years and over;Photography;12;11;9;7
75 years and over;Installation art;3;3;3;3
75 years and over;Video art;2;1;1;3
75 years and over;Performance;1;1;1;0
75 years and over;Other types;3;4;4;4
75 years and over;I have not consumed graphic art within the last three months;53;54;50;59
